epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,11,,,,,0.8901098966598511,0.551596999168396
0,11,,,0.7637362480163574,0.6328611373901367,,
1,23,,,,,0.9450549483299255,0.3928518295288086
1,23,,,0.9285714030265808,0.4709438383579254,,
2,35,,,,,0.9560439586639404,0.24533380568027496
2,35,,,0.9642857313156128,0.30686211585998535,,
3,47,,,,,0.9670329689979553,0.15732844173908234
3,47,,,0.9642857313156128,0.18790346384048462,,
4,59,,,,,0.9670329689979553,0.11546910554170609
4,59,,,0.9752747416496277,0.13097117841243744,,
5,71,,,,,0.9780219793319702,0.0936896800994873
5,71,,,0.9752747416496277,0.09403344243764877,,
6,83,,,,,0.9780219793319702,0.08149678260087967
6,83,,,0.9807692170143127,0.0796484723687172,,
7,95,,,,,0.9890109896659851,0.07446171343326569
7,95,,,0.9807692170143127,0.07681533694267273,,
8,107,,,,,0.9780219793319702,0.0697840079665184
8,107,,,0.9890109896659851,0.06244086101651192,,
9,119,,,,,0.9780219793319702,0.06703519076108932
9,119,,,0.9890109896659851,0.04964441433548927,,
10,131,,,,,0.9780219793319702,0.06716705858707428
10,131,,,0.9862637519836426,0.048194460570812225,,
11,143,,,,,0.9780219793319702,0.06595323234796524
11,143,,,0.9807692170143127,0.05159561336040497,,
12,155,,,,,0.9780219793319702,0.06644447892904282
12,155,,,0.9917582273483276,0.04930441081523895,,
13,167,,,,,0.9780219793319702,0.06572222709655762
13,167,,,0.9917582273483276,0.045249953866004944,,
14,179,,,,,0.9780219793319702,0.06388798356056213
14,179,,,0.9917582273483276,0.04088253155350685,,
15,191,,,,,0.9780219793319702,0.06382089853286743
15,191,,,0.9917582273483276,0.03440788388252258,,
16,203,,,,,0.9780219793319702,0.0642658919095993
16,203,,,0.9945054650306702,0.03136938437819481,,
17,215,,,,,0.9780219793319702,0.06396599858999252
17,215,,,0.9917582273483276,0.0338936448097229,,
18,227,,,,,0.9780219793319702,0.06638506799936295
18,227,,,0.9945054650306702,0.02861771546304226,,
19,239,,,,,0.9780219793319702,0.06560146063566208
19,239,,,0.9917582273483276,0.026534471660852432,,
20,251,,,,,0.9780219793319702,0.06583520025014877
20,251,,,0.9917582273483276,0.024990718811750412,,
21,252,0.9561403393745422,0.08632048964500427,,,,
